run_version,pair_id,source_event_id,session_id,scenario,input_variant,evidence_quality,provenance_fields_available,blind_action,aware_action,blind_decision,aware_decision,action_diverged,safety_interpretation
E4-OFFLINE-DRYRUN-v1.0,RQ3-EVT_TEST_BRUTE_01_001-REAL_E1_TEST,EVT_TEST_BRUTE_01_001,E1_TEST_BRUTE_01,brute_force,REAL_E1_TEST,HIGH,yes,RATE_LIMIT,RATE_LIMIT,Frozen provenance-blind mapping; detector/provenance/evidence-quality fields ignored.,Frozen provenance-aware mapping accepted independently corroborated HIGH-quality evidence.,False,Policies agree for this input under frozen matrix.
E4-OFFLINE-DRYRUN-v1.0,RQ3-EVT_TEST_BRUTE_01_001-DEGRADED_PROVENANCE_SAME_INCIDENT,EVT_TEST_BRUTE_01_001,E1_TEST_BRUTE_01,brute_force,DEGRADED_PROVENANCE_SAME_INCIDENT,LOW,no,RATE_LIMIT,SAFETY_HOLD,Frozen provenance-blind mapping; detector/provenance/evidence-quality fields ignored.,High-impact candidate withheld because evidence quality is not HIGH.,True,Aware policy withholds high-impact action when provenance is degraded.
E4-OFFLINE-DRYRUN-v1.0,RQ3-EVT_TEST_BRUTE_02_001-REAL_E1_TEST,EVT_TEST_BRUTE_02_001,E1_TEST_BRUTE_02,brute_force,REAL_E1_TEST,HIGH,yes,RATE_LIMIT,RATE_LIMIT,Frozen provenance-blind mapping; detector/provenance/evidence-quality fields ignored.,Frozen provenance-aware mapping accepted independently corroborated HIGH-quality evidence.,False,Policies agree for this input under frozen matrix.
E4-OFFLINE-DRYRUN-v1.0,RQ3-EVT_TEST_BRUTE_02_001-DEGRADED_PROVENANCE_SAME_INCIDENT,EVT_TEST_BRUTE_02_001,E1_TEST_BRUTE_02,brute_force,DEGRADED_PROVENANCE_SAME_INCIDENT,LOW,no,RATE_LIMIT,SAFETY_HOLD,Frozen provenance-blind mapping; detector/provenance/evidence-quality fields ignored.,High-impact candidate withheld because evidence quality is not HIGH.,True,Aware policy withholds high-impact action when provenance is degraded.
E4-OFFLINE-DRYRUN-v1.0,RQ3-EVT_TEST_BRUTE_03_001-REAL_E1_TEST,EVT_TEST_BRUTE_03_001,E1_TEST_BRUTE_03,brute_force,REAL_E1_TEST,HIGH,yes,RATE_LIMIT,RATE_LIMIT,Frozen provenance-blind mapping; detector/provenance/evidence-quality fields ignored.,Frozen provenance-aware mapping accepted independently corroborated HIGH-quality evidence.,False,Policies agree for this input under frozen matrix.
E4-OFFLINE-DRYRUN-v1.0,RQ3-EVT_TEST_BRUTE_03_001-DEGRADED_PROVENANCE_SAME_INCIDENT,EVT_TEST_BRUTE_03_001,E1_TEST_BRUTE_03,brute_force,DEGRADED_PROVENANCE_SAME_INCIDENT,LOW,no,RATE_LIMIT,SAFETY_HOLD,Frozen provenance-blind mapping; detector/provenance/evidence-quality fields ignored.,High-impact candidate withheld because evidence quality is not HIGH.,True,Aware policy withholds high-impact action when provenance is degraded.
E4-OFFLINE-DRYRUN-v1.0,RQ3-EVT_TEST_DOS_01_001-REAL_E1_TEST,EVT_TEST_DOS_01_001,E1_TEST_DOS_01,dos,REAL_E1_TEST,HIGH,yes,RATE_LIMIT,RATE_LIMIT,Frozen provenance-blind mapping; detector/provenance/evidence-quality fields ignored.,Frozen provenance-aware mapping accepted independently corroborated HIGH-quality evidence.,False,Policies agree for this input under frozen matrix.
E4-OFFLINE-DRYRUN-v1.0,RQ3-EVT_TEST_DOS_01_001-DEGRADED_PROVENANCE_SAME_INCIDENT,EVT_TEST_DOS_01_001,E1_TEST_DOS_01,dos,DEGRADED_PROVENANCE_SAME_INCIDENT,LOW,no,RATE_LIMIT,SAFETY_HOLD,Frozen provenance-blind mapping; detector/provenance/evidence-quality fields ignored.,High-impact candidate withheld because evidence quality is not HIGH.,True,Aware policy withholds high-impact action when provenance is degraded.
E4-OFFLINE-DRYRUN-v1.0,RQ3-EVT_TEST_DOS_02_001-REAL_E1_TEST,EVT_TEST_DOS_02_001,E1_TEST_DOS_02,dos,REAL_E1_TEST,HIGH,yes,RATE_LIMIT,RATE_LIMIT,Frozen provenance-blind mapping; detector/provenance/evidence-quality fields ignored.,Frozen provenance-aware mapping accepted independently corroborated HIGH-quality evidence.,False,Policies agree for this input under frozen matrix.
E4-OFFLINE-DRYRUN-v1.0,RQ3-EVT_TEST_DOS_02_001-DEGRADED_PROVENANCE_SAME_INCIDENT,EVT_TEST_DOS_02_001,E1_TEST_DOS_02,dos,DEGRADED_PROVENANCE_SAME_INCIDENT,LOW,no,RATE_LIMIT,SAFETY_HOLD,Frozen provenance-blind mapping; detector/provenance/evidence-quality fields ignored.,High-impact candidate withheld because evidence quality is not HIGH.,True,Aware policy withholds high-impact action when provenance is degraded.
E4-OFFLINE-DRYRUN-v1.0,RQ3-EVT_TEST_DOS_03_001-REAL_E1_TEST,EVT_TEST_DOS_03_001,E1_TEST_DOS_03,dos,REAL_E1_TEST,HIGH,yes,RATE_LIMIT,RATE_LIMIT,Frozen provenance-blind mapping; detector/provenance/evidence-quality fields ignored.,Frozen provenance-aware mapping accepted independently corroborated HIGH-quality evidence.,False,Policies agree for this input under frozen matrix.
E4-OFFLINE-DRYRUN-v1.0,RQ3-EVT_TEST_DOS_03_001-DEGRADED_PROVENANCE_SAME_INCIDENT,EVT_TEST_DOS_03_001,E1_TEST_DOS_03,dos,DEGRADED_PROVENANCE_SAME_INCIDENT,LOW,no,RATE_LIMIT,SAFETY_HOLD,Frozen provenance-blind mapping; detector/provenance/evidence-quality fields ignored.,High-impact candidate withheld because evidence quality is not HIGH.,True,Aware policy withholds high-impact action when provenance is degraded.
E4-OFFLINE-DRYRUN-v1.0,RQ3-EVT_TEST_EXPLOIT_01_001-REAL_E1_TEST,EVT_TEST_EXPLOIT_01_001,E1_TEST_EXPLOIT_01,exploit,REAL_E1_TEST,HIGH,yes,BLOCK,BLOCK,Frozen provenance-blind mapping; detector/provenance/evidence-quality fields ignored.,Frozen provenance-aware mapping accepted independently corroborated HIGH-quality evidence.,False,Policies agree for this input under frozen matrix.
E4-OFFLINE-DRYRUN-v1.0,RQ3-EVT_TEST_EXPLOIT_01_001-DEGRADED_PROVENANCE_SAME_INCIDENT,EVT_TEST_EXPLOIT_01_001,E1_TEST_EXPLOIT_01,exploit,DEGRADED_PROVENANCE_SAME_INCIDENT,LOW,no,BLOCK,SAFETY_HOLD,Frozen provenance-blind mapping; detector/provenance/evidence-quality fields ignored.,High-impact candidate withheld because evidence quality is not HIGH.,True,Aware policy withholds high-impact action when provenance is degraded.
E4-OFFLINE-DRYRUN-v1.0,RQ3-EVT_TEST_EXPLOIT_02_001-REAL_E1_TEST,EVT_TEST_EXPLOIT_02_001,E1_TEST_EXPLOIT_02,exploit,REAL_E1_TEST,HIGH,yes,BLOCK,BLOCK,Frozen provenance-blind mapping; detector/provenance/evidence-quality fields ignored.,Frozen provenance-aware mapping accepted independently corroborated HIGH-quality evidence.,False,Policies agree for this input under frozen matrix.
E4-OFFLINE-DRYRUN-v1.0,RQ3-EVT_TEST_EXPLOIT_02_001-DEGRADED_PROVENANCE_SAME_INCIDENT,EVT_TEST_EXPLOIT_02_001,E1_TEST_EXPLOIT_02,exploit,DEGRADED_PROVENANCE_SAME_INCIDENT,LOW,no,BLOCK,SAFETY_HOLD,Frozen provenance-blind mapping; detector/provenance/evidence-quality fields ignored.,High-impact candidate withheld because evidence quality is not HIGH.,True,Aware policy withholds high-impact action when provenance is degraded.
E4-OFFLINE-DRYRUN-v1.0,RQ3-EVT_TEST_EXPLOIT_03_001-REAL_E1_TEST,EVT_TEST_EXPLOIT_03_001,E1_TEST_EXPLOIT_03,exploit,REAL_E1_TEST,HIGH,yes,BLOCK,BLOCK,Frozen provenance-blind mapping; detector/provenance/evidence-quality fields ignored.,Frozen provenance-aware mapping accepted independently corroborated HIGH-quality evidence.,False,Policies agree for this input under frozen matrix.
