failure_id,phase,failure_class,source_event_id,expected_safe_behavior,observed_behavior,recovery_result,external_effect_observed,action_id,ttl_seconds,pass,evidence_artifact
E4-B-DUP-01,B_FAULT_VALIDATION,duplicate_delivery,EVT_TEST_EXPLOIT_01_001,"[True, False, False], one durable queue row","insert_results=[True, False, False]; queue_rows=1","insert_results=[True, False, False]; queue_rows=1",NO,,,True,experimental_results/e4/integrated/e4_phase_b_results.csv
E4-B-MAL-01,B_FAULT_VALIDATION,malformed_missing_field,EVT_TEST_EXPLOIT_01_001,Rejected before response execution,ValueError: IP không hợp lệ: None,ValueError: IP không hợp lệ: None,NO,,,True,experimental_results/e4/integrated/e4_phase_b_results.csv
E4-B-MAL-02,B_FAULT_VALIDATION,malformed_missing_field,EVT_TEST_EXPLOIT_01_001,Rejected before response execution,ValueError: IP không hợp lệ: '999.999.999.999',ValueError: IP không hợp lệ: '999.999.999.999',NO,,,True,experimental_results/e4/integrated/e4_phase_b_results.csv
E4-B-MAL-03,B_FAULT_VALIDATION,malformed_missing_field,EVT_TEST_EXPLOIT_01_001,Rejected before response execution,ValidationError: Category không được hỗ trợ: 'UNKNOWN'. Hãy sửa Simulator hoặc bổ sung CATEGORY_ALIASES.,ValidationError: Category không được hỗ trợ: 'UNKNOWN'. Hãy sửa Simulator hoặc bổ sung CATEGORY_ALIASES.,NO,,,True,experimental_results/e4/integrated/e4_phase_b_results.csv
E4-B-RETRY-01,B_FAULT_VALIDATION,bounded_retry,EVT_TEST_EXPLOIT_01_001,3 attempts then DEAD,attempts=3; status=DEAD; retry_count=3; last_error=RuntimeError: E4_FAULT_INJECTION_TRANSIENT_PROCESSING_FAILURE,attempts=3; status=DEAD; retry_count=3; last_error=RuntimeError: E4_FAULT_INJECTION_TRANSIENT_PROCESSING_FAILURE,NO,,,True,experimental_results/e4/integrated/e4_phase_b_results.csv
E4-B-WL-01,B_FAULT_VALIDATION,whitelist_conflict,EVT_TEST_EXPLOIT_01_001,SKIPPED_WHITELIST and no firewall effect,execution_status=SKIPPED_WHITELIST; severity=THAP; playbook=PLAYBOOK_4; firewall_rule_id=None; blocked_ips=0,execution_status=SKIPPED_WHITELIST; severity=THAP; playbook=PLAYBOOK_4; firewall_rule_id=None; blocked_ips=0,NO,,,True,experimental_results/e4/integrated/e4_phase_b_results.csv
E4-C-APP-REPLAY,C_SAFETY_CONTROL,approval_replay,EVT_TEST_EXPLOIT_01_001,REPLAYED and rejected,REPLAYED,REPLAYED,NO,,,True,experimental_results/e4/integrated/e4_phase_c_results.csv
E4-C-APP-FORGED,C_SAFETY_CONTROL,approval_forged,EVT_TEST_EXPLOIT_01_001,FORGED and rejected,FORGED,FORGED,NO,,,True,experimental_results/e4/integrated/e4_phase_c_results.csv
E4-C-APP-EXPIRED,C_SAFETY_CONTROL,approval_expired,EVT_TEST_EXPLOIT_01_001,EXPIRED and rejected,EXPIRED,EXPIRED,NO,,,True,experimental_results/e4/integrated/e4_phase_c_results.csv
E4-C-QUEUE-EXHAUST,C_SAFETY_CONTROL,queue_exhaustion,EVT_TEST_EXPLOIT_01_001,durable rows retained; no external effect,"[('E4-QEX-01', 'NEW'), ('E4-QEX-02', 'NEW')]","[('E4-QEX-01', 'NEW'), ('E4-QEX-02', 'NEW')]",NO,,,True,experimental_results/e4/integrated/e4_phase_c_results.csv
