sample_id,incident_key,session_id,cycle,provenance_tier,suricata_alert_count,rf_reference_positive_count,source_timestamp_correlated,min_alert_rf_delta_s,selection_component,selection_seed,reviewer,review_time_utc,validation_outcome,notes
E7S0001,E7:002:E1_TEST_NORMAL_01,E1_TEST_NORMAL_01,2,RF_ONLY_REVIEW,0,31,False,,UNIFORM_HOURLY,20260921,Tang Quoc Cuong,2026-09-22T14:46:00.122020Z,ACCEPTED,"Evidence/provenance review: incident, session, cycle, tier and counts are internally consistent; RF_ONLY_REVIEW contract satisfied; replay sent 333/333 packets."
E7S0002,E7:001:E1_TEST_DOS_01,E1_TEST_DOS_01,1,HYBRID_CORRELATED,8640,65537,True,25.78323006629944,ROTATING_TIER:HYBRID_CORRELATED,20260921,Tang Quoc Cuong,2026-09-22T14:46:00.122020Z,ACCEPTED,Evidence/provenance review: HYBRID_CORRELATED contract satisfied; Suricata and RF evidence present; timestamp correlation within W=60 s; replay sent all offered packets.
E7S0003,E7:004:E1_TEST_EXPLOIT_01,E1_TEST_EXPLOIT_01,4,RF_ONLY_REVIEW,0,2318,False,,UNIFORM_HOURLY,20260921,Tang Quoc Cuong,2026-09-22T14:46:00.122020Z,PARTIAL_ACCEPTED,"Evidence/provenance fields and RF_ONLY_REVIEW tier are internally consistent, but replay sent 23666/23669 packets with 3 failed packets. Incident identity remains traceable; incomplete replay prevents full acceptance."
E7S0004,E7:004:E1_TEST_SCAN_02,E1_TEST_SCAN_02,4,RF_ONLY_REVIEW,0,837,False,,ROTATING_TIER:BOTH_UNCORRELATED,20260921,Tang Quoc Cuong,2026-09-22T14:46:00.122020Z,ACCEPTED,Evidence/provenance review: RF_ONLY_REVIEW contract satisfied and replay complete. selection_component is a sampling label and does not override the recorded provenance tier.
E7S0005,E7:010:E1_TEST_DOS_02,E1_TEST_DOS_02,10,HYBRID_CORRELATED,60710,65537,True,1.1920928955078125e-06,UNIFORM_HOURLY,20260921,Tang Quoc Cuong,2026-09-22T14:46:00.122020Z,ACCEPTED,Evidence/provenance review: HYBRID_CORRELATED contract satisfied; Suricata and RF evidence present; timestamp correlation within W=60 s; replay sent all offered packets.
E7S0006,E7:007:E1_TEST_SCAN_03,E1_TEST_SCAN_03,7,RF_ONLY_REVIEW,0,861,False,,ROTATING_TIER:SURICATA_ONLY,20260921,Tang Quoc Cuong,2026-09-22T14:46:00.122020Z,ACCEPTED,Evidence/provenance review: RF_ONLY_REVIEW contract satisfied and replay complete. selection_component is a sampling label and does not override the recorded provenance tier.
E7S0007,E7:011:E1_TEST_DOS_02,E1_TEST_DOS_02,11,HYBRID_CORRELATED,60800,65537,True,4.76837158203125e-07,UNIFORM_HOURLY,20260921,Tang Quoc Cuong,2026-09-22T14:46:00.122020Z,ACCEPTED,Evidence/provenance review: HYBRID_CORRELATED contract satisfied; Suricata and RF evidence present; timestamp correlation within W=60 s; replay sent all offered packets.
E7S0008,E7:013:E1_TEST_NORMAL_01,E1_TEST_NORMAL_01,13,RF_ONLY_REVIEW,0,31,False,,ROTATING_TIER:RF_ONLY_REVIEW,20260921,Tang Quoc Cuong,2026-09-22T14:46:00.122020Z,ACCEPTED,"Evidence/provenance review: incident, session, cycle, tier and counts are internally consistent; RF_ONLY_REVIEW contract satisfied; replay sent 333/333 packets."
E7S0012,E7:019:E1_TEST_DOS_03,E1_TEST_DOS_03,19,HYBRID_CORRELATED,96136,65537,True,2.384185791015625e-07,ROTATING_TIER:HYBRID_CORRELATED,20260921,Tang Quoc Cuong,2026-09-22T14:46:00.122020Z,ACCEPTED,Evidence/provenance review: HYBRID_CORRELATED contract satisfied; Suricata and RF evidence present; timestamp correlation within W=60 s; replay sent all offered packets.
E7S0019,E7:033:E1_TEST_DOS_01,E1_TEST_DOS_01,33,HYBRID_CORRELATED,8640,65537,True,25.367650747299194,UNIFORM_HOURLY,20260921,Tang Quoc Cuong,2026-09-22T14:46:00.122020Z,ACCEPTED,Evidence/provenance review: HYBRID_CORRELATED contract satisfied; Suricata and RF evidence present; timestamp correlation within W=60 s; replay sent all offered packets.
