case_id,source,session_id,common_S6_trigger,expected_route_Lam_self_reference,permissible_routes_Lam_self_reference,provenance_blind_route,evidence_aware_route,route_label_changed,reference_evaluable,blind_exact_self_reference_match,aware_exact_self_reference_match,blind_permissible_self_reference_match,aware_permissible_self_reference_match,independent_reference,Cuong_expected_route_signoff,actual_action_evaluated
CASE001,primary,E1_TEST_BRUTE_01,1,RF_EVIDENCE_REVIEW,GENERAL_REVIEW|RF_EVIDENCE_REVIEW,GENERAL_REVIEW,RF_EVIDENCE_REVIEW,1,1,0,1,1,1,NO,NO,NO
CASE001,supplementary,E1_TEST_BRUTE_01,1,RF_EVIDENCE_REVIEW,GENERAL_REVIEW|RF_EVIDENCE_REVIEW,GENERAL_REVIEW,RF_EVIDENCE_REVIEW,1,1,0,1,1,1,NO,NO,NO
CASE002,primary,E1_TEST_EXPLOIT_03,1,RF_EVIDENCE_REVIEW,GENERAL_REVIEW|RF_EVIDENCE_REVIEW,GENERAL_REVIEW,RF_EVIDENCE_REVIEW,1,1,0,1,1,1,NO,NO,NO
CASE002,supplementary,E1_TEST_EXPLOIT_03,1,GENERAL_REVIEW,GENERAL_REVIEW,GENERAL_REVIEW,PRIORITY_REVIEW,1,1,1,0,1,0,NO,NO,NO
CASE003,primary,E1_TEST_DOS_01,1,RF_EVIDENCE_REVIEW,GENERAL_REVIEW|RF_EVIDENCE_REVIEW,GENERAL_REVIEW,RF_EVIDENCE_REVIEW,1,1,0,1,1,1,NO,NO,NO
CASE003,supplementary,E1_TEST_DOS_01,1,GENERAL_REVIEW,GENERAL_REVIEW,GENERAL_REVIEW,PRIORITY_REVIEW,1,1,1,0,1,0,NO,NO,NO
CASE004,primary,E1_TEST_EXPLOIT_02,1,RF_EVIDENCE_REVIEW,GENERAL_REVIEW|RF_EVIDENCE_REVIEW,GENERAL_REVIEW,RF_EVIDENCE_REVIEW,1,1,0,1,1,1,NO,NO,NO
CASE004,supplementary,E1_TEST_EXPLOIT_02,1,GENERAL_REVIEW,GENERAL_REVIEW,GENERAL_REVIEW,PRIORITY_REVIEW,1,1,1,0,1,0,NO,NO,NO
CASE005,primary,E1_TEST_NORMAL_03,1,RF_EVIDENCE_REVIEW,GENERAL_REVIEW|RF_EVIDENCE_REVIEW,GENERAL_REVIEW,RF_EVIDENCE_REVIEW,1,1,0,1,1,1,NO,NO,NO
CASE005,supplementary,E1_TEST_NORMAL_03,1,RF_EVIDENCE_REVIEW,GENERAL_REVIEW|RF_EVIDENCE_REVIEW,GENERAL_REVIEW,RF_EVIDENCE_REVIEW,1,1,0,1,1,1,NO,NO,NO
